COUNTRY,NEW ZEALAND,NORWAY,PHILLIPPINES,SWITZERLAND,AUSTRALIA,CANADA,NIGERIA,IRELAND,COSTA RICA,JAPAN,SPAIN,ZAMBIA,CHINA,DENMARK,ENGLAND,HAITI,NETHERLANDS,PORTUGAL,USA,VIETNAM,BRAZIL,FRANCE,JAMAICA,PANAMA,ARGENTINA,ITALY,SOUTH AFRICA,SWEDEN,COLOMBIA,GERMANY,SOUTH KOREA,MOROCCO
PRICE,$1.50,$2.50,$1.25,$1.75,$3.00,$2.75,$1.00,$1.00,$0.75,$3.25,$4.50,$0.25,$1.25,$2.50,$5.50,$0.50,$3.00,$1.25,$5.75,$0.50,$2.75,$4.75,$0.75,$0.25,$1.00,$2.25,$0.50,$3.50,$1.50,$5.00,$1.50,$0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,3,0,0,3,3,1,1,0,0,3,3,0,0,3,3,0,3,0,3,0,3,1,1,0,0,3,0,3,3,3,0,0
G2,0,1,3,1,0,3,3,0,0,3,3,0,3,0,3,0,1,3,1,0,0,3,3,0,1,0,1,3,3,0,0,3
G3,1,3,0,1,3,0,1,1,0,3,0,3,0,3,3,0,3,1,1,0,1,3,1,0,0,0,3,3,0,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-,0,-,0,3,-,0,-,-,3,3,-,-,0,3,-,3,-,0,-,-,3,0,-,-,-,0,3,3,-,-,0
QF,,-,,-,3,,-,,,0,3,,,-,3,,0,,-,,,0,-,,,,-,3,0,,,-
SF,,,,,0,,,,,-,3,,,,3,,-,,,,,-,,,,,,0,-,,,
F,,,,,-,,,,,,3,,,,0,,,,,,,,,,,,,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,4,4,3,5,12,4,5,1,0,12,18,3,3,6,18,0,10,4,5,0,4,10,5,0,1,3,4,15,9,4,1,6
VALUE,2.67,1.60,2.40,2.86,4.00,1.45,5.00,1.00,0.00,3.69,4.00,12.00,2.40,2.40,3.27,0.00,3.33,3.20,0.87,0.00,1.45,2.11,6.67,0.00,1.00,1.33,8.00,4.29,6.00,0.80,0.67,24.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGGEST,PHIL,DAN,KITTY,LUCA,DAN,ARLY,,KITTY,KITTY,JANIE,BRIAN,JANIE,CORY,THOMAS,LUCA,AVI,DAN,BRIAN,MELISSA,AVI,ARLY,,AVI,JANIE,MELISSA,ARLY,JANIE,THOMAS,,ADAM,DAN,MELISSA
FANS,SHAWN,IKE,,THOMAS,MELISSA,,,ADAM,BRIAN,,,AVI,ARLY,,COLEMAN,IKE,,,JANIE,BRIAN,SHAWN,,KITTY,AVI,AVI,LUCA,AVI,COLEMAN,,,BRIAN,AVI
,,PHIL,,,ADAM,,,CORY,CORY,,,KITTY,PHIL,,,CORY,,,AVI,CORY,,,IKE,CORY,BRIAN,,BRIAN,,,,PHIL,KITTY
,,,,,CORY,,,THOMAS,ARLY,,,IKE,,,,COLEMAN,,,KITTY,,,,CORY,LUCA,ADAM,,CORY,,,,THOMAS,IKE
,,,,,PHIL,,,SHAWN,,,,CORY,,,,,,,IKE,,,,,,CORY,,COLEMAN,,,,SHAWN,CORY
,,,,,SHAWN,,,,,,,LUCA,,,,,,,,,,,,,,,,,,,,ARLY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUCA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAWN
